name,category,city,phone,rating,reviews_count,website,opportunity_score,estimated_ltv,recommended_pitch,tier
Entwine,Custom Tailor,Kollam,917561054766.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Mangalya Weddings Guruvayur | Best Event Management Company In Guruvayur,Wedding Planner,Guruvayur,916238470727.0,5.0,16.0,,78,975000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Mahar Caterers,Caterer,Guruvayur,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
MEREENA CATERERS,Caterer,Cherthala,919846990626.0,5.0,0.0,,78,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"Trumine Bridal Boutique | Bridal Boutique In Kollam, Kerala",Bridal Shop,Kollam,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Belleame Boutique And Bridal Designing Studio,Boutique,Kollam,919567526915.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Strawberry Bride N Blouse Dress Design Studio,Dressmaker,Kannur,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ababeel Matching Centre,Clothing Store,Kannur,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Zanella Boutique. Talap Kannur,Boutique,Kannur,918593939325.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
GENESIS DESIGNS - Kanchipuram Sarees,Clothing Store,Alappuzha,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Lavish Loom - The Designer Fab,Boutique,Cherthala,918075122792.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Dazzle Dress Makers,Tailor,Alappuzha,919846731113.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Jaanki Designer Studio,Boutique,Alappuzha,919605369925.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
SD CLOTHINGS,Clothing Store,Cherthala,918891392939.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
EXPOSURE BRIDAL Couture Boutique,Fashion Designer,Mararikulam,919072313233.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Najaf Banquets Parking,Banquet Hall,Kozhikode,,5.0,0.0,,70,585000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
The Majestic Party Hall By Madras Majestic,Banquet Hall,Thiruvananthapuram,,5.0,3.0,,70,585000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Aurum By Aparna,Bridal Shop,Alappuzha,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sanphy Makeover,Bridal Shop,Alappuzha,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Nezha Designs,Dress Store,Alappuzha,918547716646.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Kriti Designer Boutique,Boutique,Thrissur,919744028099.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sajawat Designer Hub,Boutique,Thrissur,918281212859.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
LOOKS Bridal Boutique & Fashion Designing,Boutique,Thrissur,919809157917.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,68,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,68,195000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Minnaa's Boutique,Boutique,Thiruvananthapuram,919746261249.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Devanidhi Bridal Designer Boutique,Boutique,Thiruvananthapuram,919747066644.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Shahrah Zain's Designer & Beauty Studio,Designer Clothing Store,Thiruvananthapuram,919061971234.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Boutiqueen Designers,Boutique,Thiruvananthapuram,919746419881.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
My Designs Couture,Boutique,Thiruvananthapuram,919562354999.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ghagra Bridals & Beyond™,Boutique,Thiruvananthapuram,,5.0,0.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Niharika Designs,Boutique,Thiruvananthapuram,917994495045.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Maisie - The Clothing Store,Clothing Store,Thiruvananthapuram,,5.0,0.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
BRIENZ BRIDAL AND PARTYWEAR,Clothing Store,Thiruvananthapuram,,5.0,0.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Hasthra,Boutique,Thiruvananthapuram,919400304093.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Eva Nova Beauty Care,Beauty Parlour,Kozhikode,919746681855.0,5.0,15.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Elegant Makeover,Make-up Artist,Kozhikode,918848545123.0,5.0,5.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Makeup Gallery Bridal Makeup Kerala,Make-up Artist,Kozhikode,916282925511.0,5.0,2.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Cindrella Beauty Parlour,Beauty Parlour,Kozhikode,919947351547.0,5.0,11.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Makeover By Dilsha Shamnad,Make-up Artist,Kozhikode,919633772200.0,5.0,31.0,,85,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Shemy's Makeover,Beauty Parlour,Kozhikode,919074523826.0,5.0,6.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Midukki Beauty Parlour,Beauty Parlour,Kozhikode,919744746634.0,5.0,2.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sahaswara,Fashion Designer,Thiruvananthapuram,919074502704.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ziva Bridal,Clothing Store,Ernakulam,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
L's & J's Designs,Designer Clothing Store,Kakkanad,919061319996.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"MJ Designer Studio - Customized Stitching, Bridal & Party Wears",Designer Clothing Store,Kochi,919495366255.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Maria Wedding Centre Ernakulam,Bridal Shop,Kochi,919605720548.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Aira Signature Bridals Boutique,Designer Clothing Store,Kochi,,5.0,0.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Amoria Bridal Emporium | Boutique In Calicut | Designer Bridal Boutiques Calicut,Wedding Service,Kozhikode,917025500027.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
ZYANA COLLECTION,Boutique,Kozhikode,,5.0,0.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Lamy Couture,Bridal Shop,Malappuram,917510757700.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
KIYARA BOUTIQUE,Boutique,Kozhikode,919037139992.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"Neenzbridal Makeover Studio, Salon & Academy. Galaxy Arcade, St. Elisebias Road, North Railway Station",Beauty Parlour,Kochi,918592986188.0,5.0,16.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
HMJ The Bridal House(rental Ornaments | Bouquets | Makeup),Make-up Artist,Kochi,918075245064.0,5.0,10.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Aroma's Beauty Solutions,Beauty Parlour,Kozhikode,,5.0,2.0,,70,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"Moroccan Beauty Ladies & Kids Parlour, Chelavoor",Make-up Artist,Kozhikode,919745030564.0,5.0,32.0,,85,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"Bvz Makeoverstudio & Salon, Hair Extension, Micro Blading Kozhikode",Hair Extension Technician,Kozhikode,916235335511.0,5.0,20.0,,85,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Dj Wdz,,,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Dj Sam 13,DJ Service,Angamaly,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Panjami Wedding Event Management,Event Management Company,,919562677996.0,5.0,0.0,,78,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Grand Voice Live Music,Wedding Service,Thrissur,919947325997.0,5.0,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Design Events,Event Management Company,Thrissur,,5.0,0.0,,70,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Mala Sounds,Audiovisual Equipment Rental Service,Poyya,918921178585.0,5.0,0.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Real Images Cinematic Wedding Films&pictures,Wedding Photographer,Murickassery,919539523586.0,5.0,0.0,,78,292500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
DJ Alosh,,Kuninji,,5.0,0.0,,68,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ammoos Audio And Lighting,Event Planner,,916282883559.0,5.0,0.0,,78,975000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sindhoora Bridal & Reception Makeup & Saree Draping & Sindhoora Beauty Parlour,Beauty Parlour,Thiruvananthapuram,919188609747.0,5.0,34.0,,85,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
MIRROR BRIDAL MAKEUP STUDIO AND SALON BY LAJI RENJITH,Beauty Parlour,Kochi,919995124746.0,5.0,22.0,,85,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Lijitha Makeup Artist,Make-up Artist,Ernakulam,919497675537.0,5.0,32.0,,83,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Suryas Makeup Box,Make-up Artist,Kochi,919746474933.0,5.0,12.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Rg Makeup Artistry,Beauty Parlour,Ernakulam,917306453584.0,5.0,42.0,,83,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Iris Make-up Artistry,Make-up Artist,Ernakulam,917736001244.0,5.0,2.0,,78,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Jini Sujith Makeup Artist,Make-up Artist,Ernakulam,918289803776.0,5.0,37.0,,83,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
