name,category,city,phone,rating,reviews_count,website,opportunity_score,estimated_ltv,recommended_pitch,tier
Queens Salon & Bridal Makeup,Beauty Parlour,Kollam,919995628915.0,4.4,91.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 91 reviews, you're ready to scale!",Tier 2 - Growth
Brahmana Samooha Madam South Nada Hall,Auditorium,Guruvayur,919968597038.0,4.1,78.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 78 reviews, you're ready to scale!",Tier 2 - Growth
Purple Collections,Cosmetics Store,Alappuzha,919778086303.0,4.2,73.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 73 reviews, you're ready to scale!",Tier 2 - Growth
Tasty Choice Catering Service,Caterer,Vengara,919847586643.0,4.2,54.0,,78,156000,"Compete with top vendors - upgrade your digital presence. With 54 reviews, you're ready to scale!",Tier 2 - Growth
"Grand Events , Aloor",Caterer,Aloor,919995361931.0,4.2,66.0,,78,156000,"Compete with top vendors - upgrade your digital presence. With 66 reviews, you're ready to scale!",Tier 2 - Growth
Alai Beauty Parlour,Beauty Parlour,Mananthavady,919562644111.0,4.1,57.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 57 reviews, you're ready to scale!",Tier 2 - Growth
Watermelon Makeup Studio,Beauty Parlour,Kumily,919895536632.0,4.4,70.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 70 reviews, you're ready to scale!",Tier 2 - Growth
ENRICH FAMILY BEAUTY SALON,Beauty Parlour,Cheruthoni,919656256811.0,4.1,67.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 67 reviews, you're ready to scale!",Tier 2 - Growth
Aiswariya Beauty Parlour,Beauty Parlour,Adimali,919995203190.0,4.4,88.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 88 reviews, you're ready to scale!",Tier 2 - Growth
PEARL BEAUTY PALOUR,Beauty Parlour,Guruvayur,918943209546.0,4.2,55.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 55 reviews, you're ready to scale!",Tier 2 - Growth
Nayan Beauty Parlour,Beauty Parlour,Varkala,919446794931.0,4.2,54.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 54 reviews, you're ready to scale!",Tier 2 - Growth
Wedding Factory,Wedding Planner,Ernakulam,919809866666.0,4.4,51.0,,78,780000,"Compete with top vendors - upgrade your digital presence. With 51 reviews, you're ready to scale!",Tier 2 - Growth
Spanial Gents Wedding Center,Clothing Store,Kannur,917511118777.0,4.3,64.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 64 reviews, you're ready to scale!",Tier 2 - Growth
Olive Beauty Care,Beauty Parlour,Kottakkal,919961080051.0,4.2,60.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 60 reviews, you're ready to scale!",Tier 2 - Growth
Kavitha Catering Service,Caterer,Nedumkandam,919447431951.0,4.1,53.0,,78,156000,"Compete with top vendors - upgrade your digital presence. With 53 reviews, you're ready to scale!",Tier 2 - Growth
Eden Caters,Caterer,Mulakuzha,919656493963.0,4.2,92.0,,78,156000,"Compete with top vendors - upgrade your digital presence. With 92 reviews, you're ready to scale!",Tier 2 - Growth
"AROMA CATERING & EVENT'S ,THODUPUZHA",Caterer,Karimannoor,918086968933.0,4.1,78.0,,78,156000,"Compete with top vendors - upgrade your digital presence. With 78 reviews, you're ready to scale!",Tier 2 - Growth
Jayaram Cards,Invitation Printing Service,Manjeri,919995335578.0,4.4,51.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 51 reviews, you're ready to scale!",Tier 2 - Growth
ELEGANT CATERING MANAGEMENT✨,Event Management Company,Malappuram,919895142826.0,4.4,50.0,,78,624000,"Compete with top vendors - upgrade your digital presence. With 50 reviews, you're ready to scale!",Tier 2 - Growth
Fine Arts Wedding Studio,Wedding Photographer,Kollam,919605830860.0,4.0,77.0,,78,234000,"Compete with top vendors - upgrade your digital presence. With 77 reviews, you're ready to scale!",Tier 2 - Growth
Pushpanjali,Flower Market,Kunnamkulam,916282953959.0,4.4,57.0,,78,78000,"Compete with top vendors - upgrade your digital presence. With 57 reviews, you're ready to scale!",Tier 2 - Growth
Al-noor Catering Service,Caterer,Thrissur,919846810313.0,4.2,31.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 31 reviews, you're ready to scale!",Tier 2 - Growth
Aaryas Kitchen,Caterer,Thrissur,919846368686.0,4.1,29.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 29 reviews, you're ready to scale!",Tier 2 - Growth
JF Kitchen And Events,Catering Food And Drink Supplier,Thrissur,918129778255.0,4.4,39.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 39 reviews, you're ready to scale!",Tier 2 - Growth
Rockland Caterers & Events,Event Management Company,Thrissur,919387070707.0,4.1,31.0,,75,624000,"Compete with top vendors - upgrade your digital presence. With 31 reviews, you're ready to scale!",Tier 2 - Growth
PK Catering,Caterer,Kozhikode,919847179355.0,4.3,20.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 20 reviews, you're ready to scale!",Tier 2 - Growth
Raj Catering,Caterer,Thiruvananthapuram,919895023710.0,4.2,35.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 35 reviews, you're ready to scale!",Tier 2 - Growth
Pallans Makeup Studio And Wedding Hub,Clothing Store,Thrissur,919400824638.0,4.3,32.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 32 reviews, you're ready to scale!",Tier 2 - Growth
New Signor Family Beauty Parlour,Beauty Parlour,Kozhikode,919539217217.0,4.3,29.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 29 reviews, you're ready to scale!",Tier 2 - Growth
Sariga Beauty Parlour,Beauty Parlour,Thrissur,919526940905.0,4.4,25.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 25 reviews, you're ready to scale!",Tier 2 - Growth
Queens Catering,Catering Food And Drink Supplier,Thiruvananthapuram,919847064211.0,4.1,45.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 45 reviews, you're ready to scale!",Tier 2 - Growth
Salkara Decoraters & Cateres,Caterer,Thrissur,919388553701.0,4.3,40.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 40 reviews, you're ready to scale!",Tier 2 - Growth
Devayani Caterers,Caterer,Kochi,919446134966.0,4.3,24.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 24 reviews, you're ready to scale!",Tier 2 - Growth
Cochin Rahumania Caterers,Caterer,Kochi,919847043550.0,4.3,45.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 45 reviews, you're ready to scale!",Tier 2 - Growth
K.K.R. Caterers,Caterer,Kochi,919947471082.0,4.3,31.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 31 reviews, you're ready to scale!",Tier 2 - Growth
Puthenpurakkal Catering,Caterer,Kochi,919847044858.0,4.3,20.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 20 reviews, you're ready to scale!",Tier 2 - Growth
Mangalya Catering And Bakery,Caterer,Thiruvananthapuram,919387812150.0,4.1,34.0,,75,156000,"Compete with top vendors - upgrade your digital presence. With 34 reviews, you're ready to scale!",Tier 2 - Growth
Vivah Events,Event Management Company,Kochi,919388044455.0,4.4,36.0,,75,624000,"Compete with top vendors - upgrade your digital presence. With 36 reviews, you're ready to scale!",Tier 2 - Growth
Ave Beauty Spot,Beauty Parlour,Thrissur,919947783157.0,4.4,23.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 23 reviews, you're ready to scale!",Tier 2 - Growth
Jewel Make-up Studio (beauty Parlour),Beauty Parlour,Thrissur,919846524954.0,4.2,30.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 30 reviews, you're ready to scale!",Tier 2 - Growth
Anil Jewellery,Jewelry Store,Thrissur,914872556719.0,4.3,24.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 24 reviews, you're ready to scale!",Tier 2 - Growth
Dreams Florists & Decorators,Florist,Thrissur,919387100699.0,4.1,32.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 32 reviews, you're ready to scale!",Tier 2 - Growth
Devi Events & Trading Co.,Event Management Company,Thrissur,919995400005.0,4.4,25.0,,75,624000,"Compete with top vendors - upgrade your digital presence. With 25 reviews, you're ready to scale!",Tier 2 - Growth
Wedding Flora,Florist,Kochi,919847045705.0,4.2,24.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 24 reviews, you're ready to scale!",Tier 2 - Growth
Eenam Events & Weddings,Event Management Company,Thiruvananthapuram,919446318830.0,4.4,39.0,,75,624000,"Compete with top vendors - upgrade your digital presence. With 39 reviews, you're ready to scale!",Tier 2 - Growth
Cindrella Beauty Parlour,Beauty Parlour,Kozhikode,918606360792.0,4.4,47.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 47 reviews, you're ready to scale!",Tier 2 - Growth
Curves & Curls Ladies Beauty Parlour,Beauty Parlour,Kozhikode,919495963873.0,4.1,32.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 32 reviews, you're ready to scale!",Tier 2 - Growth
Roshma Ladies Beauty Parlour,Beauty Parlour,Thrissur,914872381772.0,4.3,30.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 30 reviews, you're ready to scale!",Tier 2 - Growth
Kalabham Hall Manacadu,Hotel,Thiruvananthapuram,919446111477.0,4.0,22.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 22 reviews, you're ready to scale!",Tier 2 - Growth
Kallyanappura Auditorium,Event Venue,Kozhikode,918089323797.0,4.1,21.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 21 reviews, you're ready to scale!",Tier 2 - Growth
Queens Herbal Beautyparlor And Ladies Tailoring,Beauty Parlour,Kozhikode,919656399557.0,4.3,20.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 20 reviews, you're ready to scale!",Tier 2 - Growth
ANGEL CATERING & EVENTS,Catering Food And Drink Supplier,Nedumkandam,919446823869.0,4.1,21.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 21 reviews, you're ready to scale!",Tier 2 - Growth
Anil Brothers Omalloor,Event Management Company,Pathanamthitta,919447248819.0,4.4,29.0,,73,624000,"Compete with top vendors - upgrade your digital presence. With 29 reviews, you're ready to scale!",Tier 2 - Growth
Image Beauty Shop,Beauty Parlour,Thodupuzha,919446931005.0,4.4,49.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 49 reviews, you're ready to scale!",Tier 2 - Growth
Tigi Concept Salon & Makeup Studio,Beauty Parlour,Kumbanad,918304019903.0,4.4,39.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 39 reviews, you're ready to scale!",Tier 2 - Growth
Ragam Caterers And Event Management,Caterer,Chalakudy,919744168214.0,4.1,48.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 48 reviews, you're ready to scale!",Tier 2 - Growth
Monarch Catering Service,Caterer,Kalletumkara,919447524750.0,4.2,39.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 39 reviews, you're ready to scale!",Tier 2 - Growth
Spice Kitchen Catering And Restaurant,Caterer,Pavangad,919388127272.0,4.3,24.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 24 reviews, you're ready to scale!",Tier 2 - Growth
STAR FOODS AND CATERERS,Caterer,Perakam,919846504694.0,4.3,28.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 28 reviews, you're ready to scale!",Tier 2 - Growth
Mathais Catering,Caterer,,918606180000.0,4.2,31.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 31 reviews, you're ready to scale!",Tier 2 - Growth
VKK Catering,Caterer,Edavilangu,919747865983.0,4.4,40.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 40 reviews, you're ready to scale!",Tier 2 - Growth
Mayas Catering,Caterer,Thattampady,919349864752.0,4.1,47.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 47 reviews, you're ready to scale!",Tier 2 - Growth
Brindhavan Caterers,Caterer,Ernakulam,914844100027.0,4.3,39.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 39 reviews, you're ready to scale!",Tier 2 - Growth
OLIVE WEDDING COMPANY,Photography Studio,Thodupuzha,919048469665.0,4.4,38.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 38 reviews, you're ready to scale!",Tier 2 - Growth
SHE N SHE,Cosmetics Store,Kasaragod,919947090704.0,4.1,30.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 30 reviews, you're ready to scale!",Tier 2 - Growth
Craft Village,Craft Store,Kannur,917012144738.0,4.2,38.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 38 reviews, you're ready to scale!",Tier 2 - Growth
SITHARA Event And Home Decor,Event Management Company,Kottakkal,918086481441.0,4.3,22.0,,73,624000,"Compete with top vendors - upgrade your digital presence. With 22 reviews, you're ready to scale!",Tier 2 - Growth
Robin's Catering Service In Kannur,Caterer,Kannur - 670673,919847836237.0,4.3,43.0,,73,156000,"Compete with top vendors - upgrade your digital presence. With 43 reviews, you're ready to scale!",Tier 2 - Growth
Aishwarya Weddings,Wedding Store,Pilathara,919207906796.0,4.4,48.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 48 reviews, you're ready to scale!",Tier 2 - Growth
Makeover By Nila Karthika,Make-up Artist,Alappuzha,919656271331.0,4.4,27.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 27 reviews, you're ready to scale!",Tier 2 - Growth
Meridian Makeup Studio,Make-up Artist,Kaloor,919207537277.0,4.4,23.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 23 reviews, you're ready to scale!",Tier 2 - Growth
Nihara Beauty Saloon & Makeup Studio,Health And Beauty Shop,Kattappana,918590820317.0,4.3,20.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 20 reviews, you're ready to scale!",Tier 2 - Growth
Jasmine Beauty Parlour And Makeup Studio,Beauty Parlour,Kannur,919744803759.0,4.0,39.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 39 reviews, you're ready to scale!",Tier 2 - Growth
SERAS BRIDAL MAKEOVER STUDIO,Beauty Parlour,Taliparamba,919446577662.0,4.4,40.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 40 reviews, you're ready to scale!",Tier 2 - Growth
Olivia Makeup Studio,Beauty Parlour,Chakkarakkal,919207232657.0,4.3,28.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 28 reviews, you're ready to scale!",Tier 2 - Growth
Bokjui Beauty Bar,Beauty Parlour,Puzhathi,918301953614.0,4.3,32.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 32 reviews, you're ready to scale!",Tier 2 - Growth
Saudi Saloon,Hairdresser,Alappuzha,919037178296.0,4.4,37.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 37 reviews, you're ready to scale!",Tier 2 - Growth
Adorn Gents Beauty Parlour,Beauty Parlour,Malappuram,919037877040.0,4.1,46.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 46 reviews, you're ready to scale!",Tier 2 - Growth
Kerala Vocational Training Centre,Training Center,Kannur,919249423133.0,4.3,43.0,,73,78000,"Compete with top vendors - upgrade your digital presence. With 43 reviews, you're ready to scale!",Tier 2 - Growth
OAK CONVENTION CENTRE,Convention Center,Kozhikode,,4.4,82.0,,70,78000,"Compete with top vendors - upgrade your digital presence. With 82 reviews, you're ready to scale!",Tier 2 - Growth
Regent Caterers,Caterer,Thrissur,,4.3,89.0,,70,156000,"Compete with top vendors - upgrade your digital presence. With 89 reviews, you're ready to scale!",Tier 2 - Growth
Bhajanapura Palace Auditorium,Wedding Venue,Thiruvananthapuram,,4.4,94.0,,70,468000,"Compete with top vendors - upgrade your digital presence. With 94 reviews, you're ready to scale!",Tier 2 - Growth
White Palace Karakkamandapam,Auditorium,Thiruvananthapuram,,4.2,75.0,,70,78000,"Compete with top vendors - upgrade your digital presence. With 75 reviews, you're ready to scale!",Tier 2 - Growth
Little Flower Parish Hall,Banquet Hall,Thiruvananthapuram,,4.1,77.0,,70,468000,"Compete with top vendors - upgrade your digital presence. With 77 reviews, you're ready to scale!",Tier 2 - Growth
St. Lawrence Parish Hall,Banquet Hall,Kochi,,4.0,70.0,,70,468000,"Compete with top vendors - upgrade your digital presence. With 70 reviews, you're ready to scale!",Tier 2 - Growth
CITY EVENTS,Wedding Planner,Kozhikode,,4.4,57.0,,70,780000,"Compete with top vendors - upgrade your digital presence. With 57 reviews, you're ready to scale!",Tier 2 - Growth
BVS Fashion Jewellery,Bridal Shop,Kollam,,4.0,95.0,,68,78000,"Compete with top vendors - upgrade your digital presence. With 95 reviews, you're ready to scale!",Tier 2 - Growth
De Luxe Unisex Salon And Spa Lounge,Beauty Parlour,Kollam,,4.4,61.0,,68,78000,"Compete with top vendors - upgrade your digital presence. With 61 reviews, you're ready to scale!",Tier 2 - Growth
Rekha’s Makeover Studio & Academy,Make-up Artist,Ernakulam,,4.3,63.0,,68,78000,"Compete with top vendors - upgrade your digital presence. With 63 reviews, you're ready to scale!",Tier 2 - Growth
HIM Hall,Banquet Hall,Kozhikode,,4.1,24.0,,65,468000,"Compete with top vendors - upgrade your digital presence. With 24 reviews, you're ready to scale!",Tier 2 - Growth
MALABAR SOUNDS MALAPPURAM,Audiovisual Equipment Rental Service,Kozhikode,,4.3,40.0,,65,78000,"Compete with top vendors - upgrade your digital presence. With 40 reviews, you're ready to scale!",Tier 2 - Growth
Sri Kanchi Kamakoti Chandra Sekharendra Saraswathi Keerthi Mantapam,Wedding Venue,Thiruvananthapuram,,4.2,25.0,,65,468000,"Compete with top vendors - upgrade your digital presence. With 25 reviews, you're ready to scale!",Tier 2 - Growth
Ernakulathappan Hall,Event Venue,Kochi,,4.0,36.0,,65,78000,"Compete with top vendors - upgrade your digital presence. With 36 reviews, you're ready to scale!",Tier 2 - Growth
CSI Women's Centre Auditorium,Wedding Venue,Thiruvananthapuram,,4.0,22.0,,65,468000,"Compete with top vendors - upgrade your digital presence. With 22 reviews, you're ready to scale!",Tier 2 - Growth
Sree Chaithanya Hall,Concert Hall,Kozhikode,,4.2,40.0,,65,78000,"Compete with top vendors - upgrade your digital presence. With 40 reviews, you're ready to scale!",Tier 2 - Growth
Sudarsan Kalyana Mandapam,Auditorium,Thiruvananthapuram,,4.4,22.0,,65,78000,"Compete with top vendors - upgrade your digital presence. With 22 reviews, you're ready to scale!",Tier 2 - Growth
Dream Avenue Hall,Community Center,Kozhikode,,4.3,23.0,,65,78000,"Compete with top vendors - upgrade your digital presence. With 23 reviews, you're ready to scale!",Tier 2 - Growth
La Fairy Salon & Spa | Make-up Studio,Beauty Parlour,Thiruvananthapuram,,4.1,33.0,,65,78000,"Compete with top vendors - upgrade your digital presence. With 33 reviews, you're ready to scale!",Tier 2 - Growth
Abad Plaza,Banquet Hall,Kochi,,4.3,44.0,,65,468000,"Compete with top vendors - upgrade your digital presence. With 44 reviews, you're ready to scale!",Tier 2 - Growth
St. Christopher Parish Hall,Banquet Hall,Thiruvananthapuram,,4.3,25.0,,65,468000,"Compete with top vendors - upgrade your digital presence. With 25 reviews, you're ready to scale!",Tier 2 - Growth
NISHI'S HALL (mini-auditorium),Auditorium,Kochi,,4.4,24.0,,65,78000,"Compete with top vendors - upgrade your digital presence. With 24 reviews, you're ready to scale!",Tier 2 - Growth
ZAARA MAKEOVERS,Make-up Artist,Kilikolloor,,4.2,36.0,,63,78000,"Compete with top vendors - upgrade your digital presence. With 36 reviews, you're ready to scale!",Tier 2 - Growth
Natural Beauty Parlour & Bridal Studio,Beauty Parlour,Eranellur,,4.2,43.0,,63,78000,"Compete with top vendors - upgrade your digital presence. With 43 reviews, you're ready to scale!",Tier 2 - Growth
Lakeside Hall,Convention Center,Ernakulam,,4.3,24.0,,63,78000,"Compete with top vendors - upgrade your digital presence. With 24 reviews, you're ready to scale!",Tier 2 - Growth
Sharadambha Kalyana Mantapa,Wedding Venue,Kasaragod,,4.1,30.0,,63,468000,"Compete with top vendors - upgrade your digital presence. With 30 reviews, you're ready to scale!",Tier 2 - Growth
Calypso Gents Beauty Parlour,Beauty Parlour,Manjeri,,4.2,42.0,,63,78000,"Compete with top vendors - upgrade your digital presence. With 42 reviews, you're ready to scale!",Tier 2 - Growth
Rose Petals Gents Beauty Saloon,Beauty Parlour,Varkala,,4.3,23.0,,63,78000,"Compete with top vendors - upgrade your digital presence. With 23 reviews, you're ready to scale!",Tier 2 - Growth
JP Flowers And Olga Events,Flower Delivery,Eranellur,,4.1,46.0,,63,78000,"Compete with top vendors - upgrade your digital presence. With 46 reviews, you're ready to scale!",Tier 2 - Growth
Sass Makeover,Make-up Artist,Edakkad,,4.4,44.0,,63,78000,"Compete with top vendors - upgrade your digital presence. With 44 reviews, you're ready to scale!",Tier 2 - Growth
1,Event Planner,Kollam,,4.3,47.0,,63,780000,"Compete with top vendors - upgrade your digital presence. With 47 reviews, you're ready to scale!",Tier 2 - Growth
Food Station Restaurant & Caterers,Restaurant,Thrissur,919645871111.0,4.3,67.0,https://www.instagram.com/foodstation.thrissur/,60,60000,"Compete with top vendors - upgrade your digital presence. With 67 reviews, you're ready to scale!",Tier 2 - Growth
Dude Makeover Studio & Salon,Beauty Parlour,Pathanamthitta,917510282674.0,4.4,59.0,https://www.facebook.com/TheDudeMakeoverStudio?mibextid=LQQJ4d,58,60000,"Compete with top vendors - upgrade your digital presence. With 59 reviews, you're ready to scale!",Tier 2 - Growth
WEDKO The Event Hub,Craft Store,Perinthalmanna,917736303366.0,4.1,96.0,https://instagram.com/wedko_eventhub?igshid=YmMyMTA2M2Y%3D,58,60000,"Compete with top vendors - upgrade your digital presence. With 96 reviews, you're ready to scale!",Tier 2 - Growth
Party Factory Kochi,Event Planner,Kochi,919072856856.0,4.4,25.0,http://www.instagram.com/partyfactorykochi,55,600000,"Compete with top vendors - upgrade your digital presence. With 25 reviews, you're ready to scale!",Tier 2 - Growth
R EVENTS & WEDDING,Event Management Company,Thiruvananthapuram,919946556406.0,4.4,27.0,https://www.instagram.com/reventstvm?igsh=dTE5YXFrczl6eWt5,55,480000,"Compete with top vendors - upgrade your digital presence. With 27 reviews, you're ready to scale!",Tier 2 - Growth
Lamiya Events,Event Management Company,,919946610433.0,4.4,27.0,https://www.instagram.com/lamiyaevents?igsh=MW1iNXd5eGd3eXhzZg%3D%3D,53,480000,"Compete with top vendors - upgrade your digital presence. With 27 reviews, you're ready to scale!",Tier 2 - Growth
Trivandrum Birthday Decorations,Event Planner,,919656592132.0,4.4,20.0,https://www.instagram.com/trivandrumbirthday_events?igsh=MnBuc3l5aHFyOHoz,53,600000,"Compete with top vendors - upgrade your digital presence. With 20 reviews, you're ready to scale!",Tier 2 - Growth
SHI HAIR AND BEAUTY,Beauty Parlour,Kannur,919895916451.0,4.4,26.0,https://www.instagram.com/golden_gloww123/?igsh=ajZqc3FsNnl2bzhk,53,60000,"Compete with top vendors - upgrade your digital presence. With 26 reviews, you're ready to scale!",Tier 2 - Growth
Angel Beauty Parlour,Beauty Parlour,Alappuzha,919847857343.0,4.0,41.0,https://www.facebook.com/AngelBeautyParlour.Plaisytom,53,60000,"Compete with top vendors - upgrade your digital presence. With 41 reviews, you're ready to scale!",Tier 2 - Growth
White Women - Bridal Makeup Studio,Beauty Parlour,Chavakkad,919072100002.0,4.1,38.0,https://www.instagram.com/whitewomen_bridalmakeover/,53,60000,"Compete with top vendors - upgrade your digital presence. With 38 reviews, you're ready to scale!",Tier 2 - Growth
COCHIN BEAUTY PARLOUR,Beauty Parlour,Malappuram,,4.1,98.0,https://www.instagram.com/cochin_salon_malappuram,48,60000,"Compete with top vendors - upgrade your digital presence. With 98 reviews, you're ready to scale!",Tier 2 - Growth
Softphotoman Wedding Stories,Wedding Photographer,,,4.2,31.0,https://instagram.com/softphotoman_wedding_stories?igshid=YmMyMTA2M2Y%3D,43,180000,"Compete with top vendors - upgrade your digital presence. With 31 reviews, you're ready to scale!",Tier 2 - Growth
Glamour & Grooming Beauty Lounge,Beauty Parlour,Kozhikode,917560996688.0,4.0,52.0,https://666d19de36c73.site123.me/,40,60000,"Compete with top vendors - upgrade your digital presence. With 52 reviews, you're ready to scale!",Tier 2 - Growth
Good Look Wedding Events And Decorations,Wedding Service,Thrissur,919349036324.0,4.2,70.0,http://www.goodlookweddingevents.com/,40,60000,"Compete with top vendors - upgrade your digital presence. With 70 reviews, you're ready to scale!",Tier 2 - Growth
Make My Day Events & Weddings,Event Management Company,Kochi,919526166444.0,4.3,61.0,http://www.makemydayevents.co.in/,40,480000,"Compete with top vendors - upgrade your digital presence. With 61 reviews, you're ready to scale!",Tier 2 - Growth
Sanjoe Caterers,Caterer,Kochi,919446380810.0,4.3,94.0,http://www.sanjoecaterers.com/,40,120000,"Compete with top vendors - upgrade your digital presence. With 94 reviews, you're ready to scale!",Tier 2 - Growth
"Treat Catering Service, Thrissur",Caterer,Thrissur,919895579626.0,4.2,58.0,https://trichurtreat.com/,40,120000,"Compete with top vendors - upgrade your digital presence. With 58 reviews, you're ready to scale!",Tier 2 - Growth
Priyam Caterers- Food Partner For Your Celebrations,Caterer,Kochi,919447209730.0,4.2,71.0,http://www.priyamcaterers.in/,40,120000,"Compete with top vendors - upgrade your digital presence. With 71 reviews, you're ready to scale!",Tier 2 - Growth
Oscar Event Management,Event Management Company,Thrissur,919605806666.0,4.1,86.0,http://www.oscareventmanagement.in/,40,480000,"Compete with top vendors - upgrade your digital presence. With 86 reviews, you're ready to scale!",Tier 2 - Growth
