name,category,city,phone,rating,reviews_count,website,opportunity_score,estimated_ltv,recommended_pitch,tier
Mantra Wedding Planners,Wedding Planner,Thiruvananthapuram,919995212757.0,5.0,178.0,http://mantraweddingplanners.com/,55,1125000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Prime Weddings And Events - Wedding Event Management Trivandrum,Wedding Planner,Thiruvananthapuram,919745640788.0,4.8,153.0,http://www.primeweddingsandevents.com/,55,1125000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
VS Fast Food And Catering,Catering,Thiruvananthapuram,919387825070.0,3.5,31.0,,65,65000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Bismillah Caterers,Mobile Caterer,Thiruvananthapuram,,3.4,5.0,,45,130000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Munnar Catering College,College,Thiruvananthapuram,914712445333.0,3.4,30.0,http://www.munnarcateringcollege.edu.in/,20,50000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Parinay Weddings & Events IQ,Wedding Service,Thiruvananthapuram,919447708597.0,4.8,179.0,http://www.parinayweddings.com/,55,112500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Destination Wedding,Wedding Service,Thiruvananthapuram,,4.3,11.0,,60,78000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Greenhat Photography Trivandrum,Wedding Photographer,Thiruvananthapuram,919447991164.0,4.9,345.0,https://greenhatphotography.com/,60,450000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Greenwater - Wedding Photographers Trivandrum,Wedding Photographer,Thiruvananthapuram,917559939955.0,4.8,289.0,https://www.greenwaterevents.com/,60,450000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Luxtales - Wedding Photography & Films - Trivandrum,Wedding Photographer,Thiruvananthapuram,919539284444.0,4.9,196.0,https://luxtales.com/,55,337500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
RDR Convention Centre,Convention Center,Thiruvananthapuram,919605040300.0,4.3,7466.0,http://www.rdrconventioncentre.com/,50,120000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Alakapuri Convention Center,Convention Center,Thiruvananthapuram,914712725457.0,4.1,3967.0,,90,156000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Girideepam Convention Centre,Convention Center,Thiruvananthapuram,919562059888.0,4.5,3919.0,http://www.girideepamconventioncentre.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Hotel Dimora Thiruvananthapuram,,Thiruvananthapuram,914716665333.0,4.4,8525.0,https://www.thedimorahotels.com/dimora-thiruvananthapuram/,50,120000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Windsor Rajadhani,,Thiruvananthapuram,914712547777.0,4.1,6640.0,http://www.rajadhanihotels.com/hotels-kerala-trivandrum/Windsor-Rajadhani,50,120000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
UDAY SUITES - THE GARDEN HOTEL,,Thiruvananthapuram,918590504355.0,4.4,5850.0,https://www.udshotels.com/uday-suites-airport-hotel/,50,120000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Bishop Pereira Hall,Banquet Hall,Thiruvananthapuram,917511107755.0,4.0,951.0,,90,936000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Manacaud Valiyapalli Community Hall,Banquet Hall,Thiruvananthapuram,,4.3,538.0,,80,936000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Confluence By Hycinth,Banquet Hall,Thiruvananthapuram,919400000770.0,4.8,525.0,https://hycinthhotels.com/events-weddings/,60,900000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sha Wedding Palace,Clothing Store,Thiruvananthapuram,919961303132.0,3.6,36.0,,65,65000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Kumpukkattu Fashions,Clothing Store,Thiruvananthapuram,919447053264.0,5.0,5.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Jayalakshmi Silks,Clothing Store,Thiruvananthapuram,,4.0,0.0,http://www.jayalakshmisilks.com/,20,60000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
MAS Auditorium,Auditorium,Thiruvananthapuram,914712361389.0,3.7,777.0,,80,130000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Rajasooyam Auditorium,Auditorium,Thiruvananthapuram,918078079614.0,4.0,768.0,,90,156000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sumangali Auditorium,Auditorium,Thiruvananthapuram,,3.9,759.0,,70,130000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Trivandrum Women's Club And Mini Hall,Event Venue,Thiruvananthapuram,914712721664.0,3.8,615.0,,80,130000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Advaita Hall,Event Venue,Thiruvananthapuram,,4.0,162.0,,75,117000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
T.J.M. Hall,Event Venue,Thiruvananthapuram,914712311347.0,4.0,103.0,,85,117000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ananthapuri Auditorium,Wedding Venue,Thiruvananthapuram,,3.9,1958.0,,70,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sree Padmam Kalyanamandapam,Wedding Venue,Thiruvananthapuram,914712479911.0,3.9,1267.0,,80,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Lekshmi Kalyana Mandapam,Wedding Venue,Thiruvananthapuram,914712495333.0,3.9,907.0,,80,780000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Kalabham Hall Manacadu,Hotel,Thiruvananthapuram,919446111477.0,4.0,22.0,,75,78000,"Compete with top vendors - upgrade your digital presence. With 22 reviews, you're ready to scale!",Tier 2 - Growth
Akhil Beach Resort Pvt Ltd.,Resort Hotel,Thiruvananthapuram,919895998141.0,3.9,0.0,http://www.akhilbeachresort.com/,20,50000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Freemasons Hall,Hall,Thiruvananthapuram,,3.9,458.0,,70,130000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
VJT Hall,Hall,Thiruvananthapuram,914712477441.0,4.3,210.0,,90,156000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Opus - Banquet Hall At O By Tamara,Conference Center,Thiruvananthapuram,914716660888.0,4.8,4.0,https://www.obytamara.com/hotel-trivandrum/events-celebrations/discover-celebrations.html,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Sri Mulam Club,Club,Thiruvananthapuram,914712722980.0,4.2,3129.0,https://srimulam.club/,50,120000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Trivandrum Club,Club,Thiruvananthapuram,914714144444.0,4.3,2675.0,https://trivandrumclub.in/,50,120000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Christ Church Centenary Hall,Concert Hall,Thiruvananthapuram,,4.6,32.0,http://www.csichristchurch.org/,35,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Grace MINI Hall,Festival Hall,Thiruvananthapuram,917306084449.0,3.6,129.0,https://www.graceminihall.com/,35,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Fair Professional Salon Spa,Beauty Parlour,Thiruvananthapuram,914712554305.0,4.2,11005.0,https://www.fairhair.in/,50,120000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Salobiaa Salon | Beauty And Beyond,Beauty Parlour,Thiruvananthapuram,919072311115.0,4.9,3232.0,https://salobiaa.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
JAJIS INNOVATION UNISEX BEAUTY SALON & BRIDAL MAKEUP STUDIO,Beauty Parlour,Thiruvananthapuram,919207209207.0,4.7,2673.0,http://www.jajisinnovation.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Gopika Sooraj - The Makeup Artist,Make-up Artist,Thiruvananthapuram,917356126444.0,5.0,1729.0,http://www.bellaglamourra.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
The Makeover Bridal & Designing Studio,Make-up Artist,Thiruvananthapuram,918086145731.0,4.9,716.0,,100,195000,"You have 716 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
MELUHA UNISEX SALON & BRIDAL MAKEUP STUDIO (rose Beauty Clinic),Make-up Artist,Thiruvananthapuram,918590302665.0,4.5,297.0,https://linktr.ee/Meluha_,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Lakme Academy,Beauty School,Thiruvananthapuram,919061390612.0,4.9,327.0,http://facebook.com/lakmeacademytrivandrum,80,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Naturals Beauty Academy - Trivandrum,Beauty School,Thiruvananthapuram,919061786178.0,4.9,142.0,http://www.naturalsacademy.com/,55,112500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Cheveux Academy Of Cosmetology,Beauty School,Thiruvananthapuram,918089563949.0,4.9,46.0,,85,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Henna Fashionizta,Mehndi Designer,Thiruvananthapuram,919605567790.0,4.9,88.0,,90,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
HENNA BY SALIHA | BRIDAL MEHANDI ARTIST,Mehndi Designer,Thiruvananthapuram,917560986576.0,4.9,76.0,,90,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Vanitha Thozhil Pariseelana Kendram. Thiruvananthapuram,Beautician,Thiruvananthapuram,918921905591.0,4.9,94.0,https://vanithathozhil.com/,50,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Orchid Saree Draping And Styling Studio,Beautician,Thiruvananthapuram,919446030941.0,5.0,71.0,https://www.instagram.com/leksmimakeupstudio?igsh=cW9yb3RneDZnaDN6,70,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Mehek Mehendi(mehendi Designing In Trivandrum),Bridal Shop,Thiruvananthapuram,919947215604.0,4.9,362.0,http://www.mehekmehendi.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"Trumine Bridal Boutique | Bridal Boutique In Trivandrum, Kerala",Bridal Shop,Thiruvananthapuram,918606237475.0,4.9,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Aswa Plaza,Bridal Shop,Thiruvananthapuram,919946504934.0,4.6,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Nilaa Designs &makeover Studio,Boutique,Thiruvananthapuram,919809268065.0,4.6,60.0,,90,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ray World,Boutique,Thiruvananthapuram,917591910191.0,4.8,0.0,https://www.facebook.com/letsfollowrayworld,60,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Weavaa,Boutique,Thiruvananthapuram,919633203399.0,5.0,0.0,https://www.weavaa.com/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
ANEZ ANZARE Make-up Studio Trivandrum,Cosmetics Store,Thiruvananthapuram,919633941672.0,4.0,49.0,http://www.anezanzare.com/keralas-best-cosmetic-shop.html,35,60000,"Compete with top vendors - upgrade your digital presence. With 49 reviews, you're ready to scale!",Tier 2 - Growth
Reon Unisex Salon & Spa,Spa,Thiruvananthapuram,919746674446.0,4.9,38.0,https://reonbeautyspa.com/,45,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Lapelwedding,Wedding Dress Rental Service,Thiruvananthapuram,917012758268.0,4.7,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Shaadi Rental Attire,Wedding Dress Rental Service,Thiruvananthapuram,919995547475.0,4.9,0.0,http://wa.me/+918281237475,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
SUITORGUY | Mens Wedding Suits Rental,Wedding Dress Rental Service,Thiruvananthapuram,,4.9,0.0,https://suitorguy.com/,30,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Panache & Poise – Microblading & Permanent Makeup Experts In Trivandrum,Permanent Make-up Clinic,Thiruvananthapuram,918848946197.0,4.8,436.0,https://www.panacheandpoise.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Le Brow Makeover Academy,Hair Salon,Thiruvananthapuram,919207798771.0,5.0,95.0,,90,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Swasti Saree Draping & Mehndi Studio,Stylist,Thiruvananthapuram,917012159920.0,4.9,337.0,,100,195000,"You have 337 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Tejaswi Beauty Care & Make Up Studio,Supermarket,Thiruvananthapuram,919586725274.0,4.9,547.0,,100,195000,"You have 547 happy clients with a 4.9 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Rajakumari Gold & Diamonds Thiruvananthapuram,Jewelry Store,Thiruvananthapuram,919072630000.0,4.6,0.0,https://rajakumarigold.com/store-detail/jewellery-in-trivandrum,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
AMELIYA BRIDAL RENTAL JEWELLERY,Jewelry Store,Thiruvananthapuram,919072612002.0,4.8,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Kairali Jewellers,Jewelry Store,Thiruvananthapuram,917510343565.0,4.2,0.0,http://www.kairalijewellers.com/,30,60000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Chic Shine Jewels (rental & Sale ),Costume Jewelry Shop,Thiruvananthapuram,918921916270.0,4.7,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Minnaram Designer Boutique,Designer Clothing Store,Thiruvananthapuram,917306793976.0,4.5,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Navomi Fashion Lounge,Designer Clothing Store,Thiruvananthapuram,917907946110.0,4.4,0.0,,70,78000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Thanuz Bridal Boutique Trivandrum By Sameera Shaiju,Designer Clothing Store,Thiruvananthapuram,919605648770.0,4.5,0.0,https://instagram.com/thanuzbridalboutique/,60,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Pixel Art Wedding Company,Photography Studio,Thiruvananthapuram,918848263050.0,5.0,143.0,,95,146250,"You have 143 happy clients with a 5.0 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
Focusi Wedding Studio,Photography Studio,Thiruvananthapuram,919895111030.0,4.6,22.0,,85,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
OMF Weddings,Photography Studio,Thiruvananthapuram,917994664784.0,5.0,14.0,https://omfweddings.com/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
SWAASA,Women's Clothing Store,Thiruvananthapuram,918921564006.0,4.8,0.0,https://www.swaasafashion.com/lander,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Vedhika,Women's Clothing Store,Thiruvananthapuram,918606991020.0,4.0,0.0,http://www.vedhika.in/,30,60000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Anokha Boutique,Women's Clothing Store,Thiruvananthapuram,914717963646.0,4.6,0.0,http://anokhaboutique.in/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Wedding Props,Party Equipment Rental Service,Thiruvananthapuram,919961190974.0,5.0,7.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Amala Decorations,Tent House Supplier,Thiruvananthapuram,,4.2,6.0,,60,78000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Rosa Florists And Floral Decor,Flower Delivery,Thiruvananthapuram,919567563902.0,4.7,286.0,http://www.rosatvm.com/,60,150000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
LEO EVENTS AND TOURS,Tour Operator,Thiruvananthapuram,917012396327.0,4.8,0.0,https://leoeventsandtours.in/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
"Colour Vibes Birthday Planners , Balloon Events & Balloon Shops In Thiruvanathapuram",Party Planner,Thiruvananthapuram,919496933065.0,4.6,10.0,http://www.balloonsunlimited.in/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Lisieux Flowers,Flower Designer,Thiruvananthapuram,919495833568.0,4.8,82.0,https://www.lisieuxflowers.com/,50,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
ചിന്താമണി കല്യാണക്കത്തുകൾ Chinthaamani Wedding Cards,Invitation Printing Service,Thiruvananthapuram,919895078041.0,4.7,339.0,,100,195000,"You have 339 happy clients with a 4.7 rating, but no website! Let's showcase your work with a premium profile on itsmy.wedding",Tier 1 - Premium
"Balloons Unlimited Trivandrum, Party Store Trivandrum ,birthday Decoration Thiruvanathapuram",Party Store,Thiruvananthapuram,919496903165.0,4.4,160.0,https://balloonsunlimited.in/,45,90000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Mantra Wedding Company,Photography Service,Thiruvananthapuram,,4.7,40.0,,75,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Pinkumbrella Wedding Films,Photography Service,Thiruvananthapuram,,4.9,0.0,https://pinkumbrellaweddingfilms.com/,30,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ganga Sounds & Decorations,DJ Supply Store,Thiruvananthapuram,919387243531.0,3.8,13.0,http://www.gangasoundmanacaudofficial.com/,20,50000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Docographer Weddings,Photographer,Thiruvananthapuram,917736196719.0,5.0,58.0,https://www.facebook.com/DocographerWeddings,70,225000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
RK WEDDING MALL,Wedding Store,Thiruvananthapuram,914712571111.0,4.8,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Tasva,Wedding Store,Thiruvananthapuram,919167169124.0,4.8,0.0,https://stores.tasva.com/tasva-wedding-shop-anayara-thiruvananthapuram-301763/Home,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
THRINETHRA DESIGNER BOUTIQUE,Dressmaker,Thiruvananthapuram,919746980118.0,4.9,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
AMEEN SOUNDS ( Light & Sounds Rentel ),Audiovisual Equipment Rental Service,Thiruvananthapuram,919995152301.0,4.3,0.0,http://ameensounds.wixsite.com/website,30,60000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Saatrangi Experience Center (saatrangi Silver Studio & Weaves By Saatrangi),Jeweler,Thiruvananthapuram,918089957340.0,5.0,0.0,https://saatrangi.com/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Crystal Jewellers,Jeweler,Thiruvananthapuram,914712570918.0,4.6,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Thrishivaperoor Jewellery,Jeweler,Thiruvananthapuram,914712433916.0,4.7,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
DJ Arun - Best DJ Kerala,DJ Service,Thiruvananthapuram,919895190860.0,4.5,0.0,http://bestdjkerala.net/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Dj With Waterdrum,DJ Service,Thiruvananthapuram,917907040278.0,0.0,0.0,,55,65000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
DJ Tim John,DJ Service,Thiruvananthapuram,,5.0,0.0,http://www.instagram.com/djtimjohn/,50,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Thekkathil Holidays,Tour Agency,Thiruvananthapuram,919995828185.0,0.0,0.0,,55,65000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
G4 GOWNS RENTALS,Clothing Supplier,Thiruvananthapuram,,5.0,0.0,https://jsdl.in/DT-55XM45YJJWH,30,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Al Muqtadir Gold And Diamond Jewellery,Wholesale Jeweler,Thiruvananthapuram,919745663111.0,4.3,0.0,http://almuqtadirjewellery.com/,30,60000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Al Shakur Gold & Diamond Wholesale Jewellery,Wholesale Jeweler,Thiruvananthapuram,,4.9,0.0,http://alshakurjewellery.com/,30,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
PAVITHRA GOLD - Chalai Trivandum,Wholesale Jeweler,Thiruvananthapuram,919497527916.0,4.7,0.0,,80,97500,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
THE PANDORA -JAVED;S JEWELLS,Jewelry Manufacturer,Thiruvananthapuram,918899111633.0,5.0,0.0,https://the-pandora.business.site/,40,75000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ocean Gems & Pearls Trivandrum,Diamond Merchant,Thiruvananthapuram,918138022424.0,4.0,0.0,http://oceangemsandpearls.in/,30,60000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
Ofori Club Trivandrum,Night Club,Thiruvananthapuram,917902466000.0,3.9,0.0,,60,65000,Start your digital journey - Get a free basic profile on itsmy.wedding and reach more customers,Tier 3 - Entry
