name,category,city,phone,rating,reviews_count,website,instagram,facebook,digital_presence,instagram_followers,facebook_followers,opportunity_score,estimated_ltv,recommended_pitch,tier
Jaanki Designer Studio,Boutique,Alappuzha,919605369925.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dazzle Dress Makers,Tailor,Alappuzha,919846731113.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
LOOKS Bridal Boutique & Fashion Designing,Boutique,Thrissur,919809157917.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sajawat Designer Hub,Boutique,Thrissur,918281212859.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Kriti Designer Boutique,Boutique,Thrissur,919744028099.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Nezha Designs,Dress Store,Alappuzha,918547716646.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sanphy Makeover,Bridal Shop,Alappuzha,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ramzans Malabar Kitchen Caterers,Caterer,Kozhikode,,5.0,0.0,,,,none,,,70,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Clouds Events,Event Management Company,Thiruvananthapuram,919947000735.0,5.0,0.0,,,,none,,,80,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Trivium Stories,Event Management Company,Thiruvananthapuram,917356625735.0,5.0,48.0,,https://www.instagram.com/trivium_stories/,,social_only,,,75,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,42.0,,,,none,,,73,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Wedding Mantra,Event Management Company,Thiruvananthapuram,919645969994.0,5.0,15.0,,,,none,,,80,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Hayath Caterer's & Events,Catering Food And Drink Supplier,Thiruvananthapuram,,5.0,8.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Kalyanaramans Events,Caterer,Thiruvananthapuram,,5.0,2.0,,,,none,,,70,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Kumpukkattu Fashions,Clothing Store,Thiruvananthapuram,919447053264.0,5.0,5.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Aurum By Aparna,Bridal Shop,Alappuzha,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Lavish Loom - The Designer Fab,Boutique,Cherthala,918075122792.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
GENESIS DESIGNS - Kanchipuram Sarees,Clothing Store,Alappuzha,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Zanella Boutique. Talap Kannur,Boutique,Kannur,918593939325.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ababeel Matching Centre,Clothing Store,Kannur,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Strawberry Bride N Blouse Dress Design Studio,Dressmaker,Kannur,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Likhah Bridal Boutique,Boutique,Thrissur,,5.0,0.0,,https://instagram.com/l_i_k_h_a_h__?igshid=YmMyMTA2M2Y%3D,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Bridesmahal Designer Boutique,Wedding Store,Murukkumpuzha,918089899027.0,5.0,0.0,,https://instagram.com/bridesmahal?igshid=1mafrbl0kos1q,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
BASHBAY CATERING,Caterer,Kappad,919207113335.0,5.0,5.0,,,,none,,,78,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DL Caterers | Top Caterers In Calicut | Top Caterers In Kozhikkode | Top Catering Kozhikode,Caterer,Kozhikode,918078311034.0,5.0,5.0,,,,none,,,80,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Jefin's Events & Caterers,Event Management Company,Areekode,919567199773.0,5.0,28.0,,,,none,,,83,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
MIRAXXO CATERERS EVENTS,Event Management Company,Malappuram,919447209038.0,5.0,2.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Parappanad Catering,Event Management Company,Parappanangadi,918089378369.0,5.0,23.0,,,,none,,,83,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Foodzo Chappathi Company & Bakes,Caterer,Perumanna,918589853453.0,5.0,2.0,,,,none,,,78,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Bava Caterers,Caterer,Kozhikode,,5.0,0.0,,,,none,,,70,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Jeelani Catering,Catering Food And Drink Supplier,Kozhikode,,5.0,2.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Shahrah Zain's Designer & Beauty Studio,Designer Clothing Store,Thiruvananthapuram,919061971234.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Devanidhi Bridal Designer Boutique,Boutique,Thiruvananthapuram,919747066644.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Minnaa's Boutique,Boutique,Thiruvananthapuram,919746261249.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Maisie - The Clothing Store,Clothing Store,Thiruvananthapuram,,5.0,0.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Niharika Designs,Boutique,Thiruvananthapuram,917994495045.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ghagra Bridals & Beyond™,Boutique,Thiruvananthapuram,,5.0,0.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
My Designs Couture,Boutique,Thiruvananthapuram,919562354999.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Boutiqueen Designers,Boutique,Thiruvananthapuram,919746419881.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Hasthra,Boutique,Thiruvananthapuram,919400304093.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Darshna Bridal And Design Studio,Fashion Designer,Thiruvananthapuram,,5.0,0.0,,https://www.instagram.com/darshna.label,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Malabar Bites Caterers & Event Planners,Caterer,Thrissur,,5.0,13.0,,https://www.instagram.com/invites/contact/,,social_only,,,60,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Pepperpotevo Events And Caterers Kitchen,Catering Food And Drink Supplier,Vallivattom,,5.0,6.0,,https://lm.facebook.com/l.php?u=https%3A%2F%2Finstagram.com%2Fpepperpotevo%3Figshid%3D117ianct9afdi&h=AT3brBzm9L_SkuUARB8motFvcBlw70BBRPmCm_6O9LlxduqtjgVe9ZpnRNrlSOOg7iueS-544qtwmbScbYT5ShSTJMHn2eer0c0OdC8ZeODzKRRy9yZrL205xuokJVTWUGGOZSRfUS4a9Nloz3ePyw,,social_only,,,58,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Thalassery Kitchen Food & Catering,Restaurant Supply Store,Kozhikode,919895143325.0,5.0,10.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mirchi Catering & Events,Catering Food And Drink Supplier,Thrissur,919747941739.0,5.0,8.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
BROTHERS CATERERS,Event Management Company,Thrissur,919447829229.0,5.0,4.0,,https://www.instagram.com/brothers_catering_?igsh=NGNvbXJ3MWZ6d3Ju,,social_only,,,70,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
5star Caterers,Caterer,Alur,919446624072.0,5.0,0.0,,http://www.instagram.com/5starcaterers_events,,social_only,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Papaya Caterers,Caterer,Vadakkethara,919947450624.0,5.0,10.0,,,,none,,,78,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
AHMAD CATERERS,Restaurant,Guruvayur,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
BRIENZ BRIDAL AND PARTYWEAR,Clothing Store,Thiruvananthapuram,,5.0,0.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ziva Bridal,Clothing Store,Ernakulam,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
RUTHA DESIGNS,Bridal Shop,Ernakulam,,5.0,0.0,,https://www.instagram.com/ruthadesigns?igsh=c2x4OWo0dDBsc25m,,social_only,,,58,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sringara Boutique,Boutique,Thiruvananthapuram,917593982587.0,5.0,0.0,,https://www.instagram.com/sringaraboutique,,social_only,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sahaswara,Fashion Designer,Thiruvananthapuram,919074502704.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"MJ Designer Studio - Customized Stitching, Bridal & Party Wears",Designer Clothing Store,Kochi,919495366255.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
L's & J's Designs,Designer Clothing Store,Kakkanad,919061319996.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mangalya Weddings Guruvayur | Best Event Management Company In Guruvayur,Wedding Planner,Guruvayur,916238470727.0,5.0,16.0,,,,none,,,78,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mother Caters,Restaurant Supply Store,Thrissur,,5.0,10.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Sabari Catering Service Enkakkad,Catering Food And Drink Supplier,Thrissur,919446146321.0,5.0,2.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Nila Events & Decors,Event Management Company,,,5.0,15.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Moorkath Catering And Events,Catering Food And Drink Supplier,Thrissur,919847566862.0,5.0,11.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Belleame Boutique And Bridal Designing Studio,Boutique,Kollam,919567526915.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
"Trumine Bridal Boutique | Bridal Boutique In Kollam, Kerala",Bridal Shop,Kollam,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Entwine,Custom Tailor,Kollam,917561054766.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Shalom Wedding Gowns,Clothing Store,Bishop Jerom Nagar,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Vows & Veils Designer Boutique,Boutique,Thazhuthala,918330007717.0,5.0,0.0,,https://www.instagram.com/vows_and_veils_/,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Danah Designer Boutique,Women's Clothing Store,Thazhuthala,919899597665.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Zoella DESIGNER STUDIO,Clothing Store,Kollam,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ethna Designs | Fashion Designer Kollam,Boutique,Kollam,918891506053.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
MEREENA CATERERS,Caterer,Cherthala,919846990626.0,5.0,0.0,,,,none,,,78,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mahar Caterers,Caterer,Guruvayur,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Aira Signature Bridals Boutique,Designer Clothing Store,Kochi,,5.0,0.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Maria Wedding Centre Ernakulam,Bridal Shop,Kochi,919605720548.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
G-aura Bridal Studio,Bridal Shop,Kochi,916238869796.0,5.0,0.0,,https://www.instagram.com/_g_aura_bridal_studio_?igsh=cDhxMzkzajN4c243,,social_only,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
KIYARA BOUTIQUE,Boutique,Kozhikode,919037139992.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Add On Bridal Hub,Bridal Shop,Kozhikode,,5.0,0.0,,https://www.instagram.com/_add.on?igsh=d2VoNGF1ZzV5MXl1,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Lamy Couture,Bridal Shop,Malappuram,917510757700.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
ZYANA COLLECTION,Boutique,Kozhikode,,5.0,0.0,,,,none,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Amoria Bridal Emporium | Boutique In Calicut | Designer Bridal Boutiques Calicut,Wedding Service,Kozhikode,917025500027.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Noyal Augustine,DJ Service,,919061148894.0,5.0,0.0,,https://www.instagram.com/dj_noyl,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Mala Sounds,Audiovisual Equipment Rental Service,Poyya,918921178585.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Design Events,Event Management Company,Thrissur,,5.0,0.0,,,,none,,,70,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Grand Voice Live Music,Wedding Service,Thrissur,919947325997.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Panjami Wedding Event Management,Event Management Company,,919562677996.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Sam 13,DJ Service,Angamaly,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Wdz,,,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Jusno Fernandez,DJ Service,,919895931086.0,5.0,0.0,,https://www.instagram.com/dj_jusno_fernamdez,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Shiju Chekzz,DJ Service,Alappuzha,918921496197.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Justin Fernandez,Entertainer,Alappuzha,919846010001.0,5.0,0.0,,https://instagram.com/jusfedez?igshid=YmMyMTA2M2Y%3D,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Pranavam Events & Catering Services,Event Management Company,Oachira,919072290902.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Pepe Groove Hub,DJ Service,Anakkara,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ THE NOISE,DJ Service,,919562405333.0,5.0,0.0,,https://instagram.com/djthenoise?igshid=MzRlODBiNWFlZA%3D%3D,,social_only,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
MATRIX PRO AUDIOS,Audiovisual Equipment Rental Service,Chirakkara,918086135856.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Ammoos Audio And Lighting,Event Planner,,916282883559.0,5.0,0.0,,,,none,,,78,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Alosh,,Kuninji,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Real Images Cinematic Wedding Films&pictures,Wedding Photographer,Murickassery,919539523586.0,5.0,0.0,,,,none,,,78,292500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Thiricharivukal,DJ Service,,919947398454.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Blueberry Caterers,Caterer,,,5.0,0.0,,,,none,,,68,195000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Raldia Events,Event Management Company,,,5.0,0.0,,,,none,,,68,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
TANGO Multi Purpose AC Hall,Banquet Hall,Thiruvananthapuram,919447055396.0,5.0,0.0,,,http://www.facebook.com/avenuecentreshoppe,social_only,,,70,585000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
The Majestic Party Hall By Madras Majestic,Banquet Hall,Thiruvananthapuram,,5.0,3.0,,,,none,,,70,585000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Najaf Banquets Parking,Banquet Hall,Kozhikode,,5.0,0.0,,,,none,,,70,585000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Tim John,DJ Service,Thiruvananthapuram,,5.0,0.0,,http://www.instagram.com/djtimjohn/,,social_only,,,60,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Shaju Nagercoil,DJ Service,,919360518979.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Gora Entertainments & Event Management,Event Management Company,,917904896177.0,5.0,0.0,,,,none,,,78,780000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
LA-EVENTA,Event Planner,Thiruvananthapuram,,5.0,0.0,,,,none,,,70,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Vimal,DJ Service,,918015992748.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ Service Booking Trivandrum,DJ Service,Thiruvananthapuram,919746818679.0,5.0,0.0,,https://www.instagram.com/djservicebookingtrivandrum?igsh=MW8zMHhzM3E2NW90aQ%3D%3D,,social_only,,,70,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
KL 01 - Groove Depot Entertainments,DJ Service,,918129200694.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Gowshick ( DJ GEE),DJ Service,,918838582343.0,5.0,0.0,,,,none,,,78,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Foam Fusions,Event Planner,Thiruvananthapuram,916238991474.0,5.0,0.0,,,,none,,,80,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
PA EVENTS AND Productions,Event Planner,Thiruvananthapuram,918089918064.0,5.0,0.0,,https://www.instagram.com/pa_events_and_productions/,,social_only,,,70,975000,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
DJ MIX O MATIC & DJ FREAKY TRIGGER,DJ Service,Thiruvananthapuram,919744878254.0,5.0,0.0,,,,none,,,80,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
Dj Artist,DJ Service,,,5.0,0.0,,,,none,,,68,97500,Start your digital journey — get a free basic profile on itsmy.wedding and reach more customers.,Tier 3 - Entry
